LGA_Name,LGA,Region,Expend,Pop
Buloke,C7,Country,0,4642.02
Golden Plains,C32,Country,0,15424.5
Hindmarsh,C8,Country,0,4220.31
Indigo,C35,Country,0,12029.7
Loddon,C46,Country,0,5862.24
Moyne,C36,Country,0,12384.72
Pyrenees,C44,Country,0,5572.98
West Wimmera,C39,Country,0,3026.49
Yarriambiack,C40,Country,0,5308.93
Towong,C34,Country,284733.48,4556.11
Strathbogie,C42,Country,1294670.47,8074.21
Queenscliffe,C1,Country,1350945.46,2521.29
Murrindindi,C41,Country,1381431.56,11104.63
Mansfield,C49,Country,1437997.01,6393.07
Gannawarra,C38,Country,1712866.2,7845.17
Alpine,C2,Country,2232436.02,9490.1
Hepburn,C26,Country,2602018.06,12023.45
Corangamite,C3,Country,2672374.33,11953.97
Surf Coast,C33,Country,2854155.94,22066.74
Mount Alexander,C47,Country,3116230.92,14887.32
Northern Grampians,C14,Country,4113493.25,9156.84
Moria,C17,Country,4244200.19,22535.64
Ararat,C43,Country,4937199.99,8737.41
Benalla,C48,Country,5265158.93,10607.66
South Grampians,C37,Country,5955041.44,12195.5
Glenelg,C25,Country,6486057.84,14916.59
South Gippsland,C4,Country,6565792.42,21678.36
Central Goldfields,C31,Country,7104793.64,10217.06
Colac-Otway,C18,Country,7490513.61,15783.51
Swan Hill,C23,Country,7527429.31,15576.08
Wodonga,C15,Country,7664502.64,29451.88
Moorabool,C22,Country,8011356.32,24375.49
Wangaratta,C9,Country,8236834.09,21049.09
Nillumbik,M16,Metro,8252420.69,48205.09
Campaspe,C10,Country,8364721.08,28429.59
Macedon Ranges,C45,Country,9179543.81,35033.11
Horsham,C5,Country,9269919.86,15298.62
Bayside,M8,Metro,13615020.66,79488.71
Baw Baw,C6,Country,14661092.83,36516.85
Bass Coast,C29,Country,16321155.47,26265.12
Mitchell,C13,Country,16394612.05,29805.36
Warrnambool,C16,Country,18542341.26,26139.6
Boroondara,M12,Metro,19997261.39,141148.2
Wellington,C12,Country,21744942.04,32481.87
Stonnington,M6,Metro,23443276.63,93306.87
East Gippsland,C28,Country,23639559.17,35594.81
Cardinia,M24,Metro,25041008.45,68959.68
Mildura,C27,Country,25711760.39,40515.66
Port Phillip,M2,Metro,28095943.28,94568.74
Yarra Ranges,M25,Metro,28793677.63,116843.74
Greater Shepparton,C24,Country,31422084.52,47853.4
Yarra,M4,Metro,32992353.39,78970.37
Latrobe,C30,Country,43563001.39,56846.77
Hobsons Bay,M3,Metro,46829609.25,74018.73
Greater Bendigo,C19,Country,48696383.97,84709.22
Whitehorse,M13,Metro,53182056.73,134641.29
Maribyrnong,M5,Metro,53735025.14,68699.85
Ballarat,C20,Country,54611247.32,78967.94
Banyule,M15,Metro,55979946.78,100830.45
Manningham,M14,Metro,56271032.24,97613.85
Melton,M29,Metro,60035038.01,99945.47
Frankston,M22,Metro,62900685.34,106462.28
Moreland,M10,Metro,63531110.68,139247.4
Maroondah,M17,Metro,65184083.08,89259.31
Knox,M18,Metro,73822339.93,124376.3
Moonee Valley,M9,Metro,75401077.51,97327.99
Glen Eira,M7,Metro,76214352.31,117223.44
Melbourne,M1,Metro,79770052.63,122123.41
Mornington Peninsula,M31,Metro,82381143.15,123084.45
Kingston,M20,Metro,83473105.91,124218.43
Darebin,M11,Metro,84324281.52,124930.69
Wyndham,M30,Metro,97384531.85,156745.42
Whittlesea,M26,Metro,103399181.7,152364.95
Hume,M27,Metro,106043755,147127.34
Monash,M19,Metro,111391124,154008.78
Greater Geelong,C21,Country,111854042.6,182373.35
Greater Dandenong,M21,Metro,118836649.2,121943.09
Casey,M23,Metro,124817967.3,222457.69
Brimbank,M28,Metro,143045743.5,158068.68
,,,,
,,,33122829.06,
,,,33122829.06,
