LGA,Expend,Pop,Expend_rate,Pop_rate
ALPINE,"1681082","10364",low,low
ARARAT,"3978324","9777",low,low
BALLARAT,"43713217","85891",medium,high
BANYULE,"42485588","103351",medium,high
BASS COAST,"13044200","29699",low,low
BAW BAW,"12615877","41733",low,medium
BAYSIDE,"10227126","84052",low,high
BOROONDARA,"13840602","146074",low,high
BRIMBANK,"101974229","165279",high,high
BULOKE,"0","4901",null,low
CAMPASPE,"6756968","29724",low,low
CARDINIA,"21286228","85551",low,high
CASEY,"98000779","268065",high,high
CENTRAL GOLDFIELDS,"5847242","10853",low,low
COLAC OTWAY,"6219375","17065",low,low
CORANGAMITE,"2097432","12495",low,low
DAREBIN,"56942787","135619",medium,high
EAST GIPPSLAND,"19870190","38508",low,medium
FRANKSTON,"46303078","112322",medium,high
GANNAWARRA,"1573499","8405",low,low
GLEN EIRA,"54025304","123025",medium,high
GLENELG,"5655412","15812",low,low
GOLDEN PLAINS,"0","17723",null,low
GREATER BENDIGO,"37393718","92151",medium,high
GREATER DANDENONG,"87430092","134847",medium,high
GREATER GEELONG,"88056044","207369",medium,high
GREATER SHEPPARTON,"24979551","51213",low,medium
HEPBURN,"2235539","13093",low,low
HINDMARSH,"0","4500",null,low
HOBSONS BAY,"34611659","76700",medium,medium
HORSHAM,"7232445","15403",low,low
HUME,"85935118","178459",medium,high
INDIGO,"0","13192",null,low
KINGSTON,"62080321","131857",medium,high
KNOX,"53495581","130097",medium,high
LATROBE,"34583574","59674",medium,medium
LODDON,"0","6089",null,low
MACEDON RANGES,"6875014","38666",low,medium
MANNINGHAM,"40882840","103412",medium,high
MANSFIELD,"1141575","7245",low,low
MARIBYRNONG,"42243208","78962",medium,medium
MAROONDAH,"45231944","93351",medium,high
MELBOURNE,"60550927","176095",medium,high
MELTON,"51592385","123187",medium,high
MILDURA,"22534278","43495",low,medium
MITCHELL,"12790856","35880",low,medium
MOIRA,"3337832","23832",low,low
MONASH,"80541623","166561",medium,high
MOONEE VALLEY,"57497774","105764",medium,high
MOORABOOL,"7396282","27324",low,low
MORELAND,"45240804","154280",medium,high
MORNINGTON PENINSULA,"63053341","134636",medium,high
MOUNT ALEXANDER,"2150043","16332",low,low
MOYNE,"0","13031",null,low
MURRINDINDI,"1140441","12075",low,low
NILLUMBIK,"7336417","49897",low,medium
NORTHERN GRAMPIANS,"3025948","9199",low,low
OF BENALLA,"4484575","11478",low,low
PORT PHILLIP,"21479124","102021",low,high
PYRENEES,"0","6033",null,low
QUEENSCLIFFE,"1081221","2563",low,low
SOUTH GIPPSLAND,"5146149","23556",low,low
SOUTHERN GRAMPIANS,"4657077","12707",low,low
STONNINGTON,"14118285","102418",low,high
STRATHBOGIE,"1065272","8891",low,low
SURF COAST,"2960697","26002",low,low
SWAN HILL,"5971315","16042",low,low
TOWONG,"211211","4945",low,low
WANGARATTA,"6958811","23109",low,low
WARRNAMBOOL,"15064961","27563",low,low
WELLINGTON,"17095751","35002",low,medium
WEST WIMMERA,"0","2987",null,low
WHITEHORSE,"37533802","144210",medium,high
WHITTLESEA,"83730104","177660",medium,high
WODONGA,"6203089","32702",low,low
WYNDHAM,"75755562","203152",medium,high
YARRA,"22747249","89622",low,high
YARRA RANGES,"21194989","123642",low,high
YARRIAMBIACK,"0","5258",null,low
